Upperclassman Studio Housing,Rates are either $4420 or $6900,84,4
Upperclassman Studio Housing,Rates are either $4420 or $6900,85,4
Upperclassman Studio Housing,Rates are either $4420 or $6900,7,4
Upperclassman Studio Housing,Rates are either $4420 or $6900,44,4
Upperclassman Studio Housing,Rates are either $4420 or $6900,59,4
Au Bon Pain,Bakery/cafe chain for soups and sandwiches,47,5
B Good,Healthy minded takes on fast food,47,5
Rec. Center,"Has gym, workout machines, and basketball courts",47,3
Argo Tea,Abundant gormet teas plus bites,64,5
Popeyes,Fast food freid chicken chain,17,5
U Burger,Creatively topped burgers and more,17,5
West End,,17,5
Sweet Tomatos Pizza,"Pizza, subs, and sides",17,5
Kygos Kitchen,Campus choice for Asian fusion fare,17,5
On the Go,"Convinience store with assortments of sandwich, salads, and sushi. Located in Curry Student Center",17,2
Starbucks,Iconic coffee house chain.  Located in Curry Student Center,17,5
Dunkin Donuts,Chain known for donuts and coffee. Located in Hayden Hall,29,5
Dunkin Donuts,Chain known for donuts and coffee. Located in Shillman,61,5
Rebecca's Cafe,Warm spot for a quick breakfast or lunch. Incredibly popular on campus sandwiches,13,5
Subway,Build-your-own sandwich chain,60,5
Office of Alumni Relations,"The Office of Alumni Relations (OAR) strives to engage and reconnect alumni with Northeastern University and one another through events, programs, communications, and volunteer opportunities.",15,6
Office of Off-Campus Housing Services,"Off Campus Student Services is dedicated to supporting the needs of off-campus students. We offer many resources, special programs and events to help you find off-campus housing, stay connected to campus, and serve as a link to your new neighborhood.",17,6
Global Experience Office,"Through evolving global networks for lifelong learning and discovery, our office maximizes the power and reach of these networks.",56,6
Office of Global Services,Services for International Students and Scholars,25,6
Office of Student Conduct and Conflict Resolution,cultivating and instilling the values of civility and good citizenship to all community members through the promotion of positive decision-making both inside and outside of the classroom.,25,6
Office of Prevention and Education,Office of Prevention and Education at Northeastern provides programming and education on topics related to alcohol and other drugs and sexual violence prevention.,25,6
Student Financial Services Office,,56,6
Housing Office,,65,6
Honors Program Office,,51,6
University Health and Counseling Office,,27,6
Career Development Office,,66,6
Office of Student Athlete Support Services,,8,6
"College of Arts, Media and Design Office",,60,6
D'Amore School of Business Student Service Office,,23,6
College of Computer and Information Science Office,,76,6
Bouv� School of Health Sciences Student Services,,6,6
College of Engineering Academic Advising Office,,63,6
School of Law Offices,,39,6
College of Science Office of Student Services,,50,6
College of Social Sciences and Humanities Office,,9,6
Rec. Center,"Has gym, workout machines, soccer fields, and swimming pools",8,3
Rec. Center,Has squash,4,3
Blackman Auditorium,School Auditorium,25,7
Northeastern University Dining Services,Students can eat here using meal swipes,34,5
Northeastern University Dining Services,Students can eat here using meal swipes,67,5
Northeastern University Dining Services,Students can eat here using meal swipes,68,5
Rec. Center,Local YMCA,80,3
